
65,mn,Female,1,1,1,1,3,1,1,1,1,11,Yes,Yes,Yes,
67,bnbnbn,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
78,kjjk,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
78,kjjk,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
78,kjjk,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
76,nnmmn,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
56,nm,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
76,jhhhj,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
78,jkjjk,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
67,muiu,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
76,uyuy,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,No,
67,kjj,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
67,jkjjk,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
78,nmnmnm,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
76,mnm,Female,1,1,1,1,1,1,1,1,2,10,Yes,Yes,Yes,
76,nmnmnm,Female,1,1,1,1,2,1,1,1,1,10,Yes,Yes,Yes,
67,jhhjjh,Female,1,1,1,1,1,1,1,1,1,9,Yes,Yes,Yes,
56,mn,Female,1,1,1,1,1,1,1,0,1,8,Yes,Yes,Yes,
0,1,1,1,1,1,1,1,1,8,
